BIAS,SOURCE,CONTRADITIONS,THEORY,EVIDENCE,OBSERVED,AUTHENTICITY_OF_KNOWLEGDE,TRUSTABLE
1,10,9,4,4,1,58,Lowly Trustable
2,8,10,4,1,7,64,Lowly Trustable
3,8,8,1,2,10,64,Lowly Trustable
4,1,9,1,1,8,48,Not Trustable
9,3,10,3,1,7,66,Lowly Trustable
2,3,7,5,3,3,46,Not Trustable
4,10,2,4,4,9,66,Lowly Trustable
3,2,3,4,2,10,48,Not Trustable
5,3,10,5,1,8,64,Lowly Trustable
4,6,4,5,2,10,62,Lowly Trustable
2,7,6,3,3,8,58,Lowly Trustable
8,8,10,1,5,7,78,Highly Trustable
2,1,6,5,3,2,38,Not Trustable
5,5,2,1,3,8,48,Not Trustable
7,1,8,2,4,9,62,Lowly Trustable
7,2,2,4,5,2,44,Not Trustable
6,1,4,4,4,7,52,Lowly Trustable
3,5,2,1,2,9,44,Not Trustable
5,9,6,1,2,5,56,Lowly Trustable
2,2,5,4,3,6,44,Not Trustable
7,5,6,3,5,8,68,Lowly Trustable
4,7,6,5,1,1,48,Not Trustable
6,4,5,4,1,5,50,Not Trustable
9,7,9,3,4,3,70,Lowly Trustable
7,5,2,5,5,2,52,Lowly Trustable
6,8,10,4,1,4,66,Lowly Trustable
3,1,9,2,2,9,52,Lowly Trustable
3,9,2,2,4,2,44,Not Trustable
3,7,10,4,4,2,60,Lowly Trustable
4,3,6,3,3,6,50,Not Trustable
2,2,8,4,1,9,52,Lowly Trustable
4,10,9,5,2,6,72,Highly Trustable
8,10,10,5,3,9,90,Highly Trustable
7,10,7,4,1,1,60,Lowly Trustable
6,8,4,2,2,2,48,Not Trustable
4,10,1,3,5,8,62,Lowly Trustable
10,2,8,2,2,7,62,Lowly Trustable
8,10,5,2,2,6,66,Lowly Trustable
6,2,7,4,4,7,60,Lowly Trustable
1,10,3,4,1,1,40,Not Trustable
4,3,2,5,1,8,46,Not Trustable
4,1,6,2,1,9,46,Not Trustable
4,7,10,3,1,2,54,Lowly Trustable
6,9,4,1,4,9,66,Lowly Trustable
2,3,3,5,2,7,44,Not Trustable
8,2,9,5,4,6,68,Lowly Trustable
1,7,10,1,5,10,68,Lowly Trustable
2,9,1,2,1,7,44,Not Trustable
10,1,2,1,2,7,46,Not Trustable
4,6,1,2,3,6,44,Not Trustable
5,5,6,4,2,1,46,Not Trustable
5,8,1,2,1,5,44,Not Trustable
1,8,9,2,5,6,62,Lowly Trustable
5,9,9,1,1,5,60,Lowly Trustable
2,9,9,2,3,7,64,Lowly Trustable
8,1,3,3,4,6,50,Not Trustable
2,6,3,1,4,8,48,Not Trustable
10,9,3,1,5,3,62,Lowly Trustable
8,6,9,3,1,8,70,Lowly Trustable
9,6,3,2,4,4,56,Lowly Trustable
1,7,10,5,3,3,58,Lowly Trustable
5,7,6,5,4,7,68,Lowly Trustable
4,6,5,5,2,3,50,Not Trustable
6,8,5,1,4,7,62,Lowly Trustable
1,6,9,3,2,8,58,Lowly Trustable
1,1,2,3,4,1,24,Not Trustable
2,9,3,2,2,8,52,Lowly Trustable
1,2,10,1,5,8,54,Lowly Trustable
5,9,5,3,4,2,56,Lowly Trustable
9,2,6,5,5,8,70,Lowly Trustable
3,8,9,3,1,10,68,Lowly Trustable
7,10,7,1,3,6,68,Lowly Trustable
3,4,3,5,4,9,56,Lowly Trustable
7,6,10,5,2,9,78,Highly Trustable
